Tаблица 1
Программа;Город;Название ЛПУ;Адрес;Режим работы;Риски
Калужская область;Обнинск;"ФГБУЗ ""Клиническая больница №8 Федерального медико-биологического агентства""";обл Калужская, г Обнинск, пр-кт Ленина, д 85;;Поликлиника, Стоматология, Вызов врача на дом
Калужская область;Обнинск;"НИАРМЕДИК/ООО ""Орхидея""";249034, обл. Калужская, г. Обнинск, ул. Гагарина, д. 37Б;;Поликлиника, Вызов врача на дом
Калужская область;Калуга;"ООО ""Доктор Вера""";248009, обл. Калужская, г. Калуга, ул. Моторная, д. 40;;Поликлиника, Вызов врача на дом
Калужская область;Калуга;"ООО ""Медицинский консилиум""";обл. Калужская, г. Калуга, ул. Фомушина, д. 8;;Поликлиника, Вызов врача на дом
Калужская область;Малоярославец;"ООО ""Лечебно-диагностический центр СТ-ДЕНТ""";249094, обл. Калужская, г. Малоярославец, ул. Карла Маркса, д. 12 ;;Поликлиника, Стоматология
Калужская область;Калужская область;в пределах административных границ города;;;Вызов врача на дом
Калужская область;Обнинск;"ООО ""Доктор Дент""";249030, обл. Калужская, г. Обнинск, ул. Горького, д. 60;;Стоматология
Калужская область;Обнинск;"ООО ""Коралл""";обл. Калужская, г. Обнинск, ул. Гагарина, д. 9;;Стоматология
Калужская область;Калуга;"ООО ""Про-Дента-Люкс""";обл. Калужская, г Калуга, ул. Достоевского, д. 53;;Стоматология
Калужская область;Калуга;"ООО ""Стоматолог""";248000, обл. Калужская, г. Калуга, ул. Московская, д. 36 ;;Стоматология
Калужская область;Калуга;"ООО ""Стоматологическая поликлиника ""Стоматолог-2""";248000, обл. Калужская, г. Калуга, ул. Московская, д. 36 ;;Стоматология
Калужская область;Калужская область;в пределах административных границ города;;;Скорая медицинская помощь
Калужская область;;"ООО ""Антониус Медвизион Калуга-Скорая помощь""";248600, обл. Калужская, г. Калуга, ул. Баумана, д. 5 ;;Скорая медицинская помощь
Калужская область;;"ООО ""СКОРОЗДРАВ""";обл. Калужская, г. Обнинск, пр-кт Ленина, д. 188, корп. А;;Скорая медицинская помощь
Калужская область;Обнинск;"ФГБУЗ ""Клиническая больница №8 Федерального медико-биологического агентства""";обл Калужская, г Обнинск, пр-кт Ленина, д 85;;Экстренная и плановая стационарная помощь
